,Purpose Code,Categorization
2125,PHOTOGRAPHY,administrative
2169,INTERNET ACCESS,administrative
2192,IE-SMITH-YARD SIGNS,administrative
2206,ARM BAND REFLECTORS (ESTIMATE),administrative
2218,SNACKS & WATER FOR VOLUNTEER CANVASSERS,administrative
2231,PHOTOGRAPHY OF AERIAL BANNER,administrative
2243,PHOTOCOPYING OF VOTER GUIDE  JOSH BRANNON,administrative
2255,TEAMSTERS FOR OBAMA BUMPER/LAPEL STICKER,administrative
2262,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 2/12/16.,administrative
2266,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 11/30/15.,administrative
2290,STAFF TIME AND PRESS RELEASE,administrative
2295,INV. # 84734 - HARD HAT STICKERS - OBAMA CAMPAIGN,administrative
2300,ESTIMATE OF AUGUST MONTHLY OUTBOUND PHONE FEES,administrative
2301,IE-FLAKE-SIGNAGE,administrative
2341,POSTCARD MAILERS-PRODUCTION & ESTIMATED POSTAGE & SHIPPING,administrative
2348,COSTUME MATERIALS,administrative
2374,IE-MOONEY-YARD SIGNS,administrative
2392,PRODUCTION TALENT EXPENSE FOR TRAVEL FOR PHONE BANKS,administrative
2395,PRINT DISCLAIMER ON CANDIDATE GUIDE BEFORE DISTRIBUTION,administrative
2420,STANDING PLACEMENT\TTV PURCHASE,administrative
2456,IE-MCDANIEL-LAPEL PINS,administrative
2457,PRINTING AND COPYING MATERIALS FOR PHONE BANK,administrative
2477,POSTAGE FOR MAILING RAND PAUL FOR PRESIDENT BUMPERSTICKERS,administrative
2543,PRINTING OF CAMPAIGN LITERATURE-VOTE SUOZZI,administrative
2553,PRINTING AND SHIPPING - RALLY SIGNS,administrative
2560,IE-LUGAR-LAWNSIGNS,administrative
2569,"DESIGN, PRINTING, POSTAGE OF DIRECT MAIL",administrative
2583,3X4 & YARD SIGNS,administrative
2601,UFCW FOR OBAMA SHIRTS,administrative
2644,PRINTING FLYERS,administrative
2670,ROUND BUTTONS,administrative
2716,IE-MACK-SIGNAGE SHIPPING,administrative
2723,PRINTED FLYERS,administrative
2762,POSTAGE TO SHIP BUMPER STICKERS,administrative
2768,REIMBURSEMENT FOR CAMPAIGN MATERIALS,administrative
2781,PHOTO SHIRTS,administrative
2802,IE-MULVANEY-YARD SIGNS/DOOR HANGERS,administrative
2847,IE-POLIQUIN-TELEMARKETING,administrative
2865,IE-SMITH-YARD SIGNS/PALM CARDS,administrative
2868,IE-HATCH-TSHIRTS/YARD SIGNS,administrative
2890,PERMITS FOR 'HELLO ROMNEY',administrative
2909,PURCHASE OF OBAMA TEESHIRTS,administrative
2920,PRINTING AND DESIGN - SIGNS,administrative
2939,POSTAGE OF PREVIOUSLY PRINTED GOTV CARDS,administrative
2946,PRINTED FLYERS - VA,administrative
2961,STAFF TIME FOR PRESS RELEASE AND RESEARCH MEMO,administrative
2981,"DESIGN, PRINTING & POSTAGE",administrative
3008,PRINTING - NO ON COFFMAN,administrative
3019,PRODUCTION MAILINGS,administrative
3026,PHOTOGRAPH FOR NEWSPAPER ADVERTISEMENT,administrative
3035,POLL SIGNS,administrative
3036,DISTRIBUTION OF 70 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
3059,SIGN INSTALLATION SUPPLIES,administrative
3145,INV# 23692 T-SHIRTS - HILLARY/KAINE (200),administrative
3162,TEAMSTERS FOR OBAMA RALLY SIGNS,administrative
3166,SHIPPING AND SALES TAX - STICKERS AND BUTTONS,administrative
3169,IE-DESANTIS-SIGNAGE,administrative
3197,FLYERS - ESTIMATED COST,administrative
3237,PHOTO,administrative
3252,IE-CLINTON-POSTAGE,administrative
3311,FULFILLMENT ITEMS - CLOTHING,administrative
3318,SHIPPING COSTS FOR T-SHIRTS,administrative
3341,IE-MCDANIEL-DOOR HANGERS/SHIPPING,administrative
3346,PRODUCTION AND POSTAGE FOR POLITICAL MAIL,administrative
3356,IE-KEOWN-SIGNAGE,administrative
3418,T-SHIRTS FOR CANVASSERS,administrative
3427,INV. # 84698 - GARY MCDOWELL HARD HAT STICKERS,administrative
3437,STAFF TIME FOR CALL SCRIPT,administrative
3467,IE-MULVANEY-SIGNAGE,administrative
3492,IE-BRUUN-BUMPER STICKERS,administrative
3518,SIGNS & FLYERS,administrative
3541,PRINTING - BANNERS,administrative
3548,PRINTING - PALMCARD,administrative
3555,PRINTER FLYERS,administrative
3569,IE-MULVANEY-DOOR HANGERS,administrative
3576,SHIRTS SUPPORTING B. BOYLE (CONGRESS),administrative
3618,INV. # 84698 - BETTY SUTTON HARD HAT STICKERS,administrative
3676,STAFF TIME DRAFTING NEWSLETTER TEXT,administrative
3699,IN KIND:  CONTACTS FOR MAILINGS,administrative
3700,APPAREL AND DISTRIBUTION,administrative
3701,PRINTING LITERATURE FOR RACINE CANVASS,administrative
3703,INV # 120352 - 500 HASSAN HARD HAT STICKERS,administrative
3708,ESTIMATED SHIPPING COSTS FOR APPAREL,administrative
3741,IE-LOUDERMILK-YARD SIGNS,administrative
3752,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 8/26/15.,administrative
3754,IE-MCCLUNG-YARD SIGNS,administrative
3777,FULFILLMENT ITEMS - CLOTHING & COINS,administrative
3858,SIGN PREPARATION AND DISTRIBUTION,administrative
3908,IE-TARKANIAN-SIGNAGE,administrative
3916,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 2/22/16.,administrative
3934,FULFILLMENT ITEMS - POSTERS,administrative
3939,T-SHIRTS AND MAILER FOR CANVASSING,administrative
3959,PRINTING - ESTIMATE - 'BGTX BILINGUAL ANTI-TRUMP',administrative
4016,LAWN SIGN CREATION AND DISTRIBUTION,administrative
4028,STEEL BLITZ FOR BARACK - JERSEYS,administrative
4044,STAFF TIME FOR PRESS MATERIALS,administrative
4060,IE-CHABOT-BUMPER STICKERS,administrative
4061,PRODUCTION COSTS (CAUCUS),administrative
4102,PHONE DATA,administrative
4120,PROMOTIONAL SIGNS PRINTING,administrative
4128,IE-BUCK-BUMPER STICKERS,administrative
4253,SITE RENTAL FEES FOR RALLY,administrative
4261,STAFF TIME FOR LETTER,administrative
4264,IE-HARMER-YARD SIGNS,administrative
4289,IE-YOUNG-BUMPER STICKERS,administrative
4330,IE-FLAKE-TSHIRTS,administrative
4369,OBAMA/BIDEN BUTTONS,administrative
4380,BUMPER STICKERS - JOE DONNELLY,administrative
4425,FULFILLMENT ITEMS - MAGNETS MUGS & CLOTHING,administrative
4448,STICKERS (ESTIMATE),administrative
4489,IE-MANDEL-SIGNAGE/BUMPER STICKERS/DOOR HANGERS,administrative
4511,PAYROLL & BENEFITS - CO LATINOS RISE,administrative
4564,T-SHIRTS (ESTIMATE),administrative
4586,IE-ROSSI-BUMPER STICKERS,administrative
4588,IE-MANDEL-SIGNAGE,administrative
4677,IE-COFFMAN-SIGNAGE,administrative
4681,POST CARD PRINT ADVERTISEMENT,administrative
4703,CWA RETIREE MAILING,administrative
4720,T-SHIRTS/STICKERS/BUTTONS,administrative
4723,IE-CRUZ-SIGNAGE,administrative
4754,IE-RENACCI-BUMPER STICKERS,administrative
4769,IE-PHILPOT-YARD SIGNS,administrative
4778,STICKER,administrative
4779,REIMBURSEMENT FOR AMOUNTS PAID FOR LABOR RE: CAMPAIGN SIGNS,administrative
4793,PAC SIGN PRINTING,administrative
4823,PRINTING AND SHIPPING - CAMPAIGN SIGNS,administrative
4834,BUTTONS/BUMPER STICKERS/CLINGS/ROLL STICKERS,administrative
4860,IE-MCDANIEL-YARD SIGNS/STICKERS,administrative
4874,LAWN SIGNS SUPPORTING HILLARY CLINTON FOR PRESIDENT,administrative
4902,SOUND SET-UP FOR METAIRIE EVENT,administrative
4962,INV. # 84698 - LARRY MAGGI HARD HAT STICKERS,administrative
4964,IE-HATCH-TSHIRTS,administrative
4974,PRIMARY ELECTION MAILER,administrative
4984,DISTRIBUTION OF 278 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
4985,POSTAGE/PRODUCTION FUNDRAISING MAIL DROPS 10.15,administrative
4989,"DESIGN, PRINTING, AND MAILING OF LITERATURE",administrative
4998,SHIPPING OF T-SHIRTS,administrative
5003,PAYROLL & BENEFITS - VOTE FOR HILLARY CLINTON (ESTIMATED),administrative
5073,IN-HOUSE PRINTING - VOTE FOR MAGGIE HASSAN,administrative
5084,STAFF TIME ON COMMUNICATIONS,administrative
5102,IE-PRINTING/POSTAGE-ALLEN,administrative
5110,PRODUCTION AND POSTAGE OF MAILERS,administrative
5111,"DESIGN, PRINTING, DATA, POSTAGE",administrative
5117,BROCHURES,administrative
5134,ICWUC/UFCW FOR OBAMA BUTTONS,administrative
5135,PAYROLL AND BENEFITS,administrative
5143,IE-LEE-YARD SIGNS,administrative
5176,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),administrative
5177,SHIPPING OF YARD SIGNS,administrative
5184,PRODUCTION AND SHIPPING OF TV AD TO BEGIN AIRING 11/1/14,administrative
5214,OBAMA LAPEL PINS AND OBAMA DNC POLO SHIRTS,administrative
5232,DISTRIBUTION OF 462 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
5239,OVAL OBAMA STICKERS,administrative
5267,IE-BUMPER STICKERS,administrative
5286,TEAMSTERS FOR OBAMA CAR MAGNETS,administrative
5338,INVOICE 23541 - STRICKLAND T-SHIRTS,administrative
5456,IE-OBAMA-BUMPER STICKERS,administrative
5495,IE-MANDEL-DOOR HANGERS/BUMPER STICKERS/PALM CARDS,administrative
5502,IE-OBAMA-SIGNAGE,administrative
5525,IE-BURR-BUMPER STICKERS,administrative
5539,SHIPPING AND PRODUCTION - CAMPAIGN T-SHIRTS,administrative
5541,POSTAGE FOR DIRECT MAIL PIECE LINGLE,administrative
5547,PRINTING - STICKERS,administrative
5634,IE-ALLEN-YARD SIGNS,administrative
5656,PLACARDS,administrative
5702,IE-STENBERG-YARD SIGNS,administrative
5715,PROOF FLIER,administrative
5733,PRODUCTION OF T-SHIRTS FOR CWA MEMBERS,administrative
5762,IE-PERRY-YARD SIGNS,administrative
5763,BUMPER STICKER PRODUCTION AND INDIVIDUAL MAILING,administrative
5825,PRINTING FOR PHONE BANK,administrative
5908,IE-RUBIO-BUMPER STICKERS,administrative
5917,POSTAGE FOR DIRECT MAIL FUNDRAISER,administrative
5919,INTERNET FOR FIELD OFFICE; 9/1-9/30 (ESTIMATE),administrative
5948,IE-LUGAR-BUMPER STICKERS/SHIPPING,administrative
5995,POSTAGE AND MAILING LISTS A SPECIAL MESSAGE FROM LEE IOCACCO,administrative
6053,PRINTING & MAILSHOP ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 2/22/16.,administrative
6099,IE-PHILPOT-SIGNAGE,administrative
6118,MATERIAL FOR SIGNAGE,administrative
6137,PAC TSHIRT PRINTING,administrative
6163,PRINTING - CAMPAIGN SIGNS,administrative
6178,OBAMA YARD SIGNS,administrative
6182,IE-MURPHY-CANDIDATE BOOKS,administrative
6187,T-SHIRTS AND PLACARDS,administrative
6188,OBAMA/BIDEN YARD SIGNS,administrative
6192,CAMPAIGN STICKERS,administrative
6207,IE-LUGAR-SIGNAGE,administrative
6210,IE-JOHNSON-YARD SIGNS,administrative
6218,IE-MOURDOCK-SIGNAGE SHIPPING,administrative
6221,FULFILLMENT ITEMS - SIGNAGE & BUTTONS,administrative
6224,PRINT 4 COLOR FLYERS,administrative
6251,IE-MILLER-BUMPER STICKERS,administrative
6296,UFCW FOR OBAMA WINDOW CLINGS,administrative
6310,IE-RUBIO-YARD SIGNS,administrative
6316,SIGN PREPARATION & DISTRIBUTION,administrative
6326,IE-LANDRY-T-SHIRTS,administrative
6346,IE-WALBERG-BUMPER STICKERS,administrative
6359,FLIERS FOR RAND PAUL FOR PRES. BUMPER STICKER MAILING,administrative
6372,DESIGN FEE FOR POSTCARDS,administrative
6379,IE-BEVIN-T-SHIRTS,administrative
6383,STAFF TIME DRAFTING STATEMENT ON VP SELECTION,administrative
6384,IE-LILJENQUIST-SIGNS/DOOR HANGERS,administrative
6387,IE-LOVE-SIGNAGE,administrative
6393,SHIPPING - SIGNS,administrative
6399,IE-WALSH-YARD SIGNS,administrative
6424,IE-GARCIA-YARD SIGNS,administrative
6436,IE-BEVIN-YARD SIGNS,administrative
6444,UFCW FOR OBAMA BUTTONS AND BUMPER STICKE,administrative
6495,STICKERS AND SIGNS,administrative
6502,SIGN PREPARATION & DISTRIBUTION (RENTAL TRUCK),administrative
6506,RECEPTION FLIERS,administrative
6516,PRINTING AND SHIPPING - CAMPAIGN BUTTONS AND STICKERS,administrative
6525,SHIP CAMPAIGN MATERIALS TO VILLAGES,administrative
6550,PHOTOGRAPHY/VIDEOGRAPHY-ESTIMATED COSTS,administrative
6562,IE-BRANNON-YARD SIGNS,administrative
6566,SIGNS FOR FLORIDA RALLY,administrative
6573,EST. PAYMENT FOR SALARY & BENEFITS,administrative
6616,T-SHIRTS AND MAILERS FOR CANVASSING,administrative
6626,FULFILLMENT ITEMS - BUMPER STICKERS,administrative
6642,ELECTION 2012 - OBAMA HARD HAT STICKERS,administrative
6663,"ELECTION 2012 - IUPAT FOR OBAMA, YARD SI",administrative
6690,DISTRIBUTION OF 369 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
6727,PRODUCTION AND SHIPPING - RALLY SIGNS,administrative
6746,SMALL ITEM DISTRIBUTION-ESTIMATED COSTS,administrative
6752,POSTAGE OF INVITATIONS FOR FUNDRAISER,administrative
6757,INTERNET FOR FIELD OFFICE; 10/1 - 10/18 (ESTIMATE),administrative
6810,IE-BEVIN-BUMPER STICKERS,administrative
6817,BUTTONS/BUMPER STICKERS/CLINGS/T-SHIRTS/STICKERS,administrative
6867,PRINTING OF CANVASS LITERATURE,administrative
6900,IE-ROTHFUS-BUMPER STICKERS,administrative
6903,IE-MOURDOCK-SIGNAGE,administrative
6910,ART CHARGE: MAZIE YARD SIGNS,administrative
6931,SIGN DESIGN,administrative
6946,PRINTING - CAMPAIGN BUTTONS,administrative
6970,POSTAGE FOR BUMPER STICKERS,administrative
6986,IE-OBAMA-MAILING,administrative
7013,PURCHASE OF LAPEL PINS,administrative
7034,OBAMA BUTTONS AND BUMPER STICKERS,administrative
7058,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 12/18/15.,administrative
7077,BUMPER STICKERS - OBAMA,administrative
7087,DELIVERY OF MAILING PIECES,administrative
7107,IN-HOUSE PRINTING - VOTE FOR HILLARY (ESTIMATED),administrative
7124,SIGN,administrative
7198,ENVELOPES FOR RAND PAUL 4 PRES. BUMPERSTICKER MAILING,administrative
7201,"DESIGN, PRINTING AND MAILING OF POSTCARD",administrative
7209,INV# 5203 STEELWORKER FOR HILLARY BUTTONS (500),administrative
7231,PRINTING - 'BGTX HARRIS BILINGUAL EARLY VOTE LIT' ESTIMATE,administrative
7243,IE-MARINO-SIGNAGE,administrative
7257,INVOICE # 84698 - OBAMA BUMPER STICKERS,administrative
7316,IE-HATCH-SIGNAGE,administrative
7370,SIGN ORDER IN SUPPORT OF CONGRESSMAN STEVE KING,administrative
7391,SNACKS FOR VOLUNTEERS/CANVASSERS,administrative
7395,2.25 OBAMA BUTTONS,administrative
7399,PRINTING - 'BGTX HARRIS EARLY VOTE LIT OBAMA/HILLARY' ESTIMATE,administrative
7415,PROMOTIONAL FLYERS,administrative
7419,POSTAGE AND VOTER LISTS,administrative
7436,ESTIMATE: VBM MAILERS,administrative
7450,IE-MOURDOCK-BUMPER STICKERS,administrative
7461,BUTTONS/STICKERS FOR STEPHENE MOORE CAMPAIGN TO ANA MEMBERS,administrative
7471,PRINTING OF CANVASS LIT,administrative
7485,YARD SIGNS FOR OBAMA,administrative
7495,FULFILLMENT ITEMS - BOOKS & YARD SIGNS,administrative
7501,IE-AMASH-YARD SIGNS,administrative
7505,DESIGN FOR CAMPAIGN MATERIALS,administrative
7538,POSTCARD DESIGN,administrative
7547,FL 26-STAFF TIME FOR MAILER REVIEW,administrative
7583,PRODUCTION AND SHIPPING - BANNERS,administrative
7614,IE-SMITH-GRASSROOTS ORGANIZING,administrative
7631,STAFF TIME FOR TV AD REVIEW,administrative
7657,PRIMARYBOEHNER STICKERS AND PENS FOR DISTRIBUTION,administrative
7684,POSTAGE FOR VOTER MAIL,administrative
7697,LAWN SIGN CREATION & DISTRIBUTION,administrative
7755,FULFILLMENT ITEMS - STICKERS,administrative
7776,IE-BARELA-BUMPER STICKERS,administrative
7778,ESTIMATED COST:  T-SHIRTS,administrative
7834,PROMOTIONAL STICKERS,administrative
7867,CA 10-MAILER PRODUCTION,administrative
7868,SIGN PERMIT,administrative
7892,ESTIMATED COST:  FLYERS,administrative
7909,IN-HOUSE PRINTING - ANOTHER FEMINIST FOR HILLARY,administrative
7933,ROMNEY/RYAN SIGNS,administrative
7935,PRINT VOTER GUIDES,administrative
7953,FLYER DESIGN,administrative
7979,UIFCW FOR OBAMA YARD SIGNS,administrative
1,DIGITAL CONSULTING,consulting
183,REIMBURSMENT FOR LIST PURCHASE FOR ELECTRONIC COMMUNICATIONS,digital
529,IE-GLENN-EMAIL LIST RENTAL,digital
669,IE-FISCHER-EMAIL LIST RENTAL,digital
1170,IE-ANGLE-EMAIL LIST,digital
1428,IE-BUERKLE-MICRO TARGETING,digital
2389,PRODUCTION AND SENDING OF EMAILS 11/5 - 11/8,digital
2584,IE-WALSH-MICRO TARGETING,digital
3265,IE-MOURDOCK-MICRO TARGETING,digital
3924,GOGUNDME FEES,digital
7733,IE-MANDEL-MICRO TARGETING,digital
7767,IN-KIND BANNER ADVERTISING (ESTIMATE OF OCTOBER BALANCE),digital
7943,IE-WEST-MICRO TARGETING,digital
179,PAC GOTV EQUIPMENT,field
370,VOTER CONTACT EMAIL,field
480,VOTER LIST ACQUISITION,field
569,VOTER CONTACT OVER SEVERAL WEEKS,field
621,"MOBILE VOTER GUIDE; 9/28 - 11/8; DOES NOT REACH $10,000 UNTIL 10/17",field
832,GOTV CALLS DEBATE MEDIA BUY DIGITAL TV,field
1009,IN KIND PHONE BANKING EQUIPMENT,field
1138,VOTER FILES,field
2129,VOTER CONTACT-EMAILS,field
2458,VOTER ID SOFTWARE,field
3029,GOTV WEB ADS,field
3609,GRASSROOTS SUPPORT EMAILS,field
4216,"MOBILE VOTER GUIDE; 9/28 - 11/8. DOES NOT REACH $10,000 UNTIL 10/17",field
5753,GOTV - ONLINE ADVOCACY,field
5755,VOTER LIST,field
5773,VOTER LISTS FOR PHONE AND MAIL,field
6807,GOTV FLYERS,field
6827,GOTV MAILER - PRINTING,field
