,Purpose Code,Categorization
7505,DESIGN FOR CAMPAIGN MATERIALS,administrative
161,DESIGN GRAPHICS,administrative
656,DESIGN LEAFLET,administrative
1015,DESIGN POSTCARD,administrative
4989,DESIGN PRINTING AND MAILING OF LITERATURE,administrative
1858,DESIGN/PRINT YARD SIGNS,administrative
4984,DISTRIBUTION OF 278 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
1045,DISTRIBUTION OF 360 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
6690,DISTRIBUTION OF 369 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
5232,DISTRIBUTION OF 462 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
3036,DISTRIBUTION OF 70 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
6663,ELECTION 2012 - IUPAT FOR OBAMA YARD SI,administrative
6642,ELECTION 2012 - OBAMA HARD HAT STICKERS,administrative
57,ELECTION 2012 - OBAMA SIGNS,administrative
7198,ENVELOPES FOR RAND PAUL 4 PRES. BUMPERSTICKER MAILING,administrative
1839,EST. PAYMENT FOR BUTTONS & T-SHIRTS,administrative
6573,EST. PAYMENT FOR SALARY & BENEFITS,administrative
7436,ESTIMATE: VBM MAILERS,administrative
595,ESTIMATE:MAILER - DECAL,administrative
7892,ESTIMATED COST:  FLYERS,administrative
7778,ESTIMATED COST:  T-SHIRTS,administrative
3708,ESTIMATED SHIPPING COSTS FOR APPAREL,administrative
785,EVENT AUDIO SERVICES,administrative
655,EVENT AUDIO VISUAL SERVICE,administrative
635,EVENT AUDIO VISUAL SERVICES,administrative
222,EVENT CONSULTING,administrative
7547,FL 26-STAFF TIME FOR MAILER REVIEW,administrative
337,FLAT EARTH FIVE MAILER INSERTS,administrative
6359,FLIERS FOR RAND PAUL FOR PRES. BUMPER STICKER MAILING,administrative
7953,FLYER DESIGN,administrative
6626,FULFILLMENT ITEMS - BUMPER STICKERS,administrative
3311,FULFILLMENT ITEMS - CLOTHING,administrative
3777,FULFILLMENT ITEMS - CLOTHING & COINS,administrative
4425,FULFILLMENT ITEMS - MAGNETS MUGS & CLOTHING,administrative
3934,FULFILLMENT ITEMS - POSTERS,administrative
6221,FULFILLMENT ITEMS - SIGNAGE & BUTTONS,administrative
7755,FULFILLMENT ITEMS - STICKERS,administrative
5134,ICWUC/UFCW FOR OBAMA BUTTONS,administrative
1285,IE-ALLEN-SIGNAGE,administrative
5634,IE-ALLEN-YARD SIGNS,administrative
7501,IE-AMASH-YARD SIGNS,administrative
7776,IE-BARELA-BUMPER STICKERS,administrative
1404,IE-BENTIVOLIO-SIGNAGE,administrative
6810,IE-BEVIN-BUMPER STICKERS,administrative
1415,IE-BEVIN-STICKERS,administrative
6379,IE-BEVIN-T-SHIRTS,administrative
6436,IE-BEVIN-YARD SIGNS,administrative
1853,IE-BIRMAN-YARD SIGNS,administrative
6562,IE-BRANNON-YARD SIGNS,administrative
3492,IE-BRUUN-BUMPER STICKERS,administrative
4128,IE-BUCK-BUMPER STICKERS,administrative
845,IE-BUCK-YARD SIGNS,administrative
956,IE-BUCSHON-YARD SIGNS,administrative
5267,IE-BUMPER STICKERS,administrative
5525,IE-BURR-BUMPER STICKERS,administrative
4060,IE-CHABOT-BUMPER STICKERS,administrative
3252,IE-CLINTON-POSTAGE,administrative
4677,IE-COFFMAN-SIGNAGE,administrative
4723,IE-CRUZ-SIGNAGE,administrative
182,IE-CURBELO-STICKERS/BROCHURES,administrative
3169,IE-DESANTIS-SIGNAGE,administrative
4330,IE-FLAKE-TSHIRTS,administrative
6424,IE-GARCIA-YARD SIGNS,administrative
4264,IE-HARMER-YARD SIGNS,administrative
7316,IE-HATCH-SIGNAGE,administrative
4964,IE-HATCH-TSHIRTS,administrative
1068,IE-HAYWORTH-BUMPER STICKERS,administrative
6210,IE-JOHNSON-YARD SIGNS,administrative
3356,IE-KEOWN-SIGNAGE,administrative
1185,IE-LANDRY-SIGNAGE,administrative
6326,IE-LANDRY-T-SHIRTS,administrative
5143,IE-LEE-YARD SIGNS,administrative
1824,IE-LILJENQUIST-DOOR HANGERS/YARD SIGNS,administrative
6384,IE-LILJENQUIST-SIGNS/DOOR HANGERS,administrative
3741,IE-LOUDERMILK-YARD SIGNS,administrative
5948,IE-LUGAR-BUMPER STICKERS/SHIPPING,administrative
2560,IE-LUGAR-LAWNSIGNS,administrative
2716,IE-MACK-SIGNAGE SHIPPING,administrative
1376,IE-MACK-YARD SIGNS/DOOR HANGERS,administrative
1024,IE-MACK-YARD SIGN-SHIPPING,administrative
5495,IE-MANDEL-DOOR HANGERS/BUMPER STICKERS/PALM CARDS,administrative
4588,IE-MANDEL-SIGNAGE,administrative
4489,IE-MANDEL-SIGNAGE/BUMPER STICKERS/DOOR HANGERS,administrative
411,IE-MANDEL-SIGNAGE/DOOR HANGERS/BUMPER STICKERS,administrative
1347,IE-MANDEL-YARD SIGNS,administrative
7243,IE-MARINO-SIGNAGE,administrative
3754,IE-MCCLUNG-YARD SIGNS,administrative
3341,IE-MCDANIEL-DOOR HANGERS/SHIPPING,administrative
271,IE-MCDANIEL-SIGNAGE,administrative
534,IE-MCDANIEL-YARD SIGNS,administrative
4860,IE-MCDANIEL-YARD SIGNS/STICKERS,administrative
6251,IE-MILLER-BUMPER STICKERS,administrative
2374,IE-MOONEY-YARD SIGNS,administrative
675,IE-MOUDOCK-EVENT SITE RENTAL,administrative
7450,IE-MOURDOCK-BUMPER STICKERS,administrative
1256,IE-MOURDOCK-BUMPER STICKERS/DOOR HANGERS,administrative
1010,IE-MOURDOCK-CAMPAIGN BUTTONS,administrative
6903,IE-MOURDOCK-SIGNAGE,administrative
6218,IE-MOURDOCK-SIGNAGE SHIPPING,administrative
3569,IE-MULVANEY-DOOR HANGERS,administrative
6182,IE-MURPHY-CANDIDATE BOOKS,administrative
5456,IE-OBAMA-BUMPER STICKERS,administrative
6986,IE-OBAMA-MAILING,administrative
5502,IE-OBAMA-SIGNAGE,administrative
628,IE-PHILPOT-BUMPER STICKERS,administrative
6099,IE-PHILPOT-SIGNAGE,administrative
2847,IE-POLIQUIN-TELEMARKETING,administrative
5102,IE-PRINTING/POSTAGE-ALLEN,administrative
284,IE-RAESE-BUMPER STICKERS,administrative
4754,IE-RENACCI-BUMPER STICKERS,administrative
4586,IE-ROSSI-BUMPER STICKERS,administrative
6900,IE-ROTHFUS-BUMPER STICKERS,administrative
5908,IE-RUBIO-BUMPER STICKERS,administrative
2033,IE-SANFORD-YARD SIGNS,administrative
7614,IE-SMITH-GRASSROOTS ORGANIZING,administrative
2865,IE-SMITH-YARD SIGNS/PALM CARDS,administrative
958,IE-STENBERG-BUMPER STICKERS,administrative
5702,IE-STENBERG-YARD SIGNS,administrative
1911,IE-TOOMEY-SIGNAGE,administrative
626,IE-WALORKSI-SIGNAGE,administrative
1786,IE-WALORSKI-YARD SIGNS,administrative
58,IE-WATSON-YARD SIGNS,administrative
4289,IE-YOUNG-BUMPER STICKERS,administrative
3699,IN KIND:  CONTACTS FOR MAILINGS,administrative
471,INDEPENDENT EXPENDITURE - FLYERS,administrative
7909,IN-HOUSE PRINTING - ANOTHER FEMINIST FOR HILLARY,administrative
7107,IN-HOUSE PRINTING - VOTE FOR HILLARY (ESTIMATED),administrative
5073,IN-HOUSE PRINTING - VOTE FOR MAGGIE HASSAN,administrative
674,IN-KIND ADVOCACY BUMPER STICKERS AND SHIPPING,administrative
41,INTERNET,administrative
2169,INTERNET ACCESS,administrative
6757,INTERNET FOR FIELD OFFICE; 10/1 - 10/18 (ESTIMATE),administrative
5919,INTERNET FOR FIELD OFFICE; 9/1-9/30 (ESTIMATE),administrative
34,INTERNET SERVICES,administrative
2747,INV # 120352 - 1500 NELSON HARD HAT STICKERS,administrative
6659,INV # 120352 - 1500 NOLAN HARD HAT STICKERS,administrative
1846,INV # 120352 - 2000 ROSS HARD HAT STICKERS,administrative
3703,INV # 120352 - 500 HASSAN HARD HAT STICKERS,administrative
6801,INV# 120352; 10000 CLINTON/KAINE HARD HAT STICKERS,administrative
3145,INV# 23692 T-SHIRTS - HILLARY/KAINE (200),administrative
7209,INV# 5203 STEELWORKER FOR HILLARY BUTTONS (500),administrative
946,INV. # 0024777-IN - T-SHIRTS - OBAMA CAMPAIGN,administrative
393,INV. # 81640 - HATS AND T SHIRTS - CRITZ CAMPAIGN,administrative
3618,INV. # 84698 - BETTY SUTTON HARD HAT STICKERS,administrative
1466,INV. # 84698 - ELIZABETH WARREN HARD HAT STICKERS,administrative
3427,INV. # 84698 - GARY MCDOWELL HARD HAT STICKERS,administrative
4962,INV. # 84698 - LARRY MAGGI HARD HAT STICKERS,administrative
2295,INV. # 84734 - HARD HAT STICKERS - OBAMA CAMPAIGN,administrative
7257,INVOICE # 84698 - OBAMA BUMPER STICKERS,administrative
5338,INVOICE 23541 - STRICKLAND T-SHIRTS,administrative
7697,LAWN SIGN CREATION & DISTRIBUTION,administrative
4016,LAWN SIGN CREATION AND DISTRIBUTION,administrative
4874,LAWN SIGNS SUPPORTING HILLARY CLINTON FOR PRESIDENT,administrative
1121,MAILING FLIER,administrative
6118,MATERIAL FOR SIGNAGE,administrative
1421,MERCHANDISE (T-SHIRTS HATS ETC.),administrative
631,NON-FEDERAL CAMPAIGN MAILER,administrative
7034,OBAMA BUTTONS AND BUMPER STICKERS,administrative
5214,OBAMA LAPEL PINS AND OBAMA DNC POLO SHIRTS,administrative
132,OBAMA SIGNS,administrative
6178,OBAMA YARD SIGNS,administrative
4369,OBAMA/BIDEN BUTTONS,administrative
6188,OBAMA/BIDEN YARD SIGNS,administrative
5239,OVAL OBAMA STICKERS,administrative
4793,PAC SIGN PRINTING,administrative
6137,PAC TSHIRT PRINTING,administrative
4511,PAYROLL & BENEFITS - CO LATINOS RISE,administrative
5003,PAYROLL & BENEFITS - VOTE FOR HILLARY CLINTON (ESTIMATED),administrative
5135,PAYROLL AND BENEFITS,administrative
162,PAYROLL TAXES RETIREMENT SVC,administrative
178,PAYROLL TAXES WITHHOLDINGS,administrative
2890,PERMITS FOR 'HELLO ROMNEY',administrative
4102,PHONE DATA,administrative
3237,PHOTO,administrative
2781,PHOTO SHIRTS,administrative
2243,PHOTOCOPYING OF VOTER GUIDE  JOSH BRANNON,administrative
3026,PHOTOGRAPH FOR NEWSPAPER ADVERTISEMENT,administrative
2125,PHOTOGRAPHY,administrative
2231,PHOTOGRAPHY OF AERIAL BANNER,administrative
595,PHOTOGRAPHY SERVICES,administrative
6550,PHOTOGRAPHY/VIDEOGRAPHY-ESTIMATED COSTS,administrative
5656,PLACARDS,administrative
970,PLACARDS/BANNERS/BUMPER STICKERS & SHIPPING COSTS,administrative
257,PODIUM SIGN,administrative
247,POLITICAL SOUVENIRS,administrative
4681,POST CARD PRINT ADVERTISEMENT,administrative
5995,POSTAGE AND MAILING LISTS A SPECIAL MESSAGE FROM LEE IOCACCO,administrative
7419,POSTAGE AND VOTER LISTS,administrative
2266,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 11/30/15.,administrative
7058,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 12/18/15.,administrative
2262,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 2/12/16.,administrative
3916,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 2/22/16.,administrative
3752,POSTAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 8/26/15.,administrative
6970,POSTAGE FOR BUMPER STICKERS,administrative
5917,POSTAGE FOR DIRECT MAIL FUNDRAISER,administrative
5541,POSTAGE FOR DIRECT MAIL PIECE LINGLE,administrative
2477,POSTAGE FOR MAILING RAND PAUL FOR PRESIDENT BUMPERSTICKERS,administrative
7684,POSTAGE FOR VOTER MAIL,administrative
6752,POSTAGE OF INVITATIONS FOR FUNDRAISER,administrative
2939,POSTAGE OF PREVIOUSLY PRINTED GOTV CARDS,administrative
2762,POSTAGE TO SHIP BUMPER STICKERS,administrative
4985,POSTAGE/PRODUCTION FUNDRAISING MAIL DROPS 10.15,administrative
7538,POSTCARD DESIGN,administrative
209,POSTER DESIGN,administrative
1905,POSTERS FOR EVENT,administrative
950,PREDICTIVE DIALER,administrative
7657,PRIMARYBOEHNER STICKERS AND PENS FOR DISTRIBUTION,administrative
6224,PRINT 4 COLOR FLYERS,administrative
488,PRINT 4 COLOR FLYERS PRODUCTION COST,administrative
2395,PRINT DISCLAIMER ON CANDIDATE GUIDE BEFORE DISTRIBUTION,administrative
7935,PRINT VOTER GUIDES,administrative
2723,PRINTED FLYERS,administrative
2946,PRINTED FLYERS - VA,administrative
22,PRINTED MATERIALS,administrative
3555,PRINTER FLYERS,administrative
3541,PRINTING - BANNERS,administrative
7231,PRINTING - 'BGTX HARRIS BILINGUAL EARLY VOTE LIT' ESTIMATE,administrative
7399,PRINTING - 'BGTX HARRIS EARLY VOTE LIT OBAMA/HILLARY' ESTIMATE,administrative
6946,PRINTING - CAMPAIGN BUTTONS,administrative
1938,PRINTING - CAMPAIGN BUTTONS AND STICKERS,administrative
6163,PRINTING - CAMPAIGN SIGNS,administrative
1745,PRINTING - CAMPAIGN T-SHIRTS,administrative
3959,PRINTING - ESTIMATE - 'BGTX BILINGUAL ANTI-TRUMP',administrative
3008,PRINTING - NO ON COFFMAN,administrative
3548,PRINTING - PALMCARD,administrative
5547,PRINTING - STICKERS,administrative
482,PRINTING - VOTE FOR ANN KUSTER,administrative
1339,PRINTING & MAIL SHOP ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 11/30/15.,administrative
6053,PRINTING & MAILSHOP ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 2/22/16.,administrative
2457,PRINTING AND COPYING MATERIALS FOR PHONE BANK,administrative
2920,PRINTING AND DESIGN - SIGNS,administrative
6516,PRINTING AND SHIPPING - CAMPAIGN BUTTONS AND STICKERS,administrative
4823,PRINTING AND SHIPPING - CAMPAIGN SIGNS,administrative
2553,PRINTING AND SHIPPING - RALLY SIGNS,administrative
1274,PRINTING AND SHIPPING - YARD SIGNS,administrative
308,PRINTING CANVASSING LITERATURE NO EXPRESS ADVOCACY,administrative
376,PRINTING FIELD,administrative
2644,PRINTING FLYERS,administrative
5825,PRINTING FOR PHONE BANK,administrative
3701,PRINTING LITERATURE FOR RACINE CANVASS,administrative
2543,PRINTING OF CAMPAIGN LITERATURE-VOTE SUOZZI,administrative
7471,PRINTING OF CANVASS LIT,administrative
6867,PRINTING OF CANVASS LITERATURE,administrative
975,PRINTING OF PALM CARDS,administrative
1787,PRINTING PLEDGE TO VOTE CARDS,administrative
365,PRINTING TELEPHONE CALLS  CANVASSING ESTIMATE  GOTV,administrative
3346,PRODUCTION AND POSTAGE FOR POLITICAL MAIL,administrative
5110,PRODUCTION AND POSTAGE OF MAILERS,administrative
7583,PRODUCTION AND SHIPPING - BANNERS,administrative
6727,PRODUCTION AND SHIPPING - RALLY SIGNS,administrative
1206,PRODUCTION AND SHIPPING COSTS OF CABLE AD,administrative
5184,PRODUCTION AND SHIPPING OF TV AD TO BEGIN AIRING 11/1/14,administrative
4061,PRODUCTION COSTS (CAUCUS),administrative
3019,PRODUCTION MAILINGS,administrative
5733,PRODUCTION OF T-SHIRTS FOR CWA MEMBERS,administrative
2392,PRODUCTION TALENT EXPENSE FOR TRAVEL FOR PHONE BANKS,administrative
814,PROMOTIONAL BUTTONS,administrative
7415,PROMOTIONAL FLYERS,administrative
4120,PROMOTIONAL SIGNS PRINTING,administrative
7834,PROMOTIONAL STICKERS,administrative
5715,PROOF FLIER,administrative
7013,PURCHASE OF LAPEL PINS,administrative
2909,PURCHASE OF OBAMA TEESHIRTS,administrative
6506,RECEPTION FLIERS,administrative
1178,RECEPTION FLIERS: HARRY REID VOTES,administrative
1051,REIMB. FOR PRODUCTION OF BERNIE T-SHIRTS,administrative
4779,REIMBURSEMENT FOR AMOUNTS PAID FOR LABOR RE: CAMPAIGN SIGNS,administrative
2768,REIMBURSEMENT FOR CAMPAIGN MATERIALS,administrative
7250,REIMBURSEMENT FOR COST OF MAIL PERMIT ALSO OPPOSED MITT ROMNEY,administrative
519,REIMBURSEMENT FOR POSTAGE FOR MAILING CAMPAIGN MATERIALS TO VOTERS,administrative
7933,ROMNEY/RYAN SIGNS,administrative
1482,ROMNEY/RYAN YARD SIGNS,administrative
2670,ROUND BUTTONS,administrative
373,SERIES OF MAIL PIECES,administrative
6525,SHIP CAMPAIGN MATERIALS TO VILLAGES,administrative
6393,SHIPPING - SIGNS,administrative
5539,SHIPPING AND PRODUCTION - CAMPAIGN T-SHIRTS,administrative
3166,SHIPPING AND SALES TAX - STICKERS AND BUTTONS,administrative
3318,SHIPPING COSTS FOR T-SHIRTS,administrative
4595,SHIPPING OF BUTTONS BUMPER STICKERS YARD SIGNS,administrative
4998,SHIPPING OF T-SHIRTS,administrative
5177,SHIPPING OF YARD SIGNS,administrative
3576,SHIRTS SUPPORTING B. BOYLE (CONGRESS),administrative
7124,SIGN,administrative
6931,SIGN DESIGN,administrative
260,SIGN DISTRIBUTION,administrative
1187,SIGN INSTALLATION,administrative
3059,SIGN INSTALLATION SUPPLIES,administrative
7370,SIGN ORDER IN SUPPORT OF CONGRESSMAN STEVE KING,administrative
7868,SIGN PERMIT,administrative
6316,SIGN PREPARATION & DISTRIBUTION,administrative
6502,SIGN PREPARATION & DISTRIBUTION (RENTAL TRUCK),administrative
3858,SIGN PREPARATION AND DISTRIBUTION,administrative
275,SIGNAGE,administrative
213,SIGNS,administrative
3518,SIGNS & FLYERS,administrative
792,SIGNS AND STICKERS,administrative
1782,SIGNS AND WINDSHIELD STICKERS,administrative
723,SIGNS FOR EVENT,administrative
6566,SIGNS FOR FLORIDA RALLY,administrative
4253,SITE RENTAL FEES FOR RALLY,administrative
6746,SMALL ITEM DISTRIBUTION-ESTIMATED COSTS,administrative
2218,SNACKS & WATER FOR VOLUNTEER CANVASSERS,administrative
537,SNACKS FOR EVENT,administrative
7391,SNACKS FOR VOLUNTEERS/CANVASSERS,administrative
771,SOUND AND LIGHTING AT EVENT,administrative
4902,SOUND SET-UP FOR METAIRIE EVENT,administrative
2290,STAFF TIME AND PRESS RELEASE,administrative
3676,STAFF TIME DRAFTING NEWSLETTER TEXT,administrative
6383,STAFF TIME DRAFTING STATEMENT ON VP SELECTION,administrative
3437,STAFF TIME FOR CALL SCRIPT,administrative
4261,STAFF TIME FOR LETTER,administrative
512,STAFF TIME FOR MEDIA CREATION (VIA DRAWDOWN),administrative
4044,STAFF TIME FOR PRESS MATERIALS,administrative
5176,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),administrative
48,STAFF TIME FOR PRESS RELEASE 10/7/14,administrative
2961,STAFF TIME FOR PRESS RELEASE AND RESEARCH MEMO,administrative
7631,STAFF TIME FOR TV AD REVIEW,administrative
5084,STAFF TIME ON COMMUNICATIONS,administrative
378,STAFF TIME ON MAIL PIECE (NATIONWIDE EXPENDITURE),administrative
611,STAGING AUDIO VISUAL LIGHTING,administrative
619,STAGING AUDIO VISUAL SERVICES,administrative
622,STAGING LIGHTING AUDIO VISUAL,administrative
442,STAGING SOUND LIGHTING,administrative
2420,STANDING PLACEMENT\TTV PURCHASE,administrative
4028,STEEL BLITZ FOR BARACK - JERSEYS,administrative
4778,STICKER,administrative
1488,STICKERS & LEAFLETS,administrative
4448,STICKERS (ESTIMATE),administrative
6495,STICKERS AND SIGNS,administrative
232,T SHIRTS BUMPER STICKERS PINS,administrative
2255,TEAMSTERS FOR OBAMA BUMPER/LAPEL STICKER,administrative
5286,TEAMSTERS FOR OBAMA CAR MAGNETS,administrative
3162,TEAMSTERS FOR OBAMA RALLY SIGNS,administrative
774,TEAMSTERS FOR OBAMA SHIRTS,administrative
1227,THE EXHIBIT PLACE - INVOICE 27492 (FLYERS),administrative
3856,THE EXHIBIT PLACE INC. 56 SEXTON RD. MCKEES ROCKS PA 15136 (BUMPER STICKERS),administrative
1970,THE EXHIBIT PLACE INC. 56 SEXTON RD. MCKEES ROCKS PA 15136 (YARD SIGNS BUMPER STICKERS FLYERS),administrative
1184,THE EXHIBIT PLACE INC. 56 SEXTON RD. MCKEES ROCKS PA 15136 (YARD SIGNS FLYERS),administrative
302,TOWN HALL PRODUCTIONS,administrative
278,TSHIRTS,administrative
4564,T-SHIRTS (ESTIMATE),administrative
3939,T-SHIRTS AND MAILER FOR CANVASSING,administrative
6616,T-SHIRTS AND MAILERS FOR CANVASSING,administrative
6187,T-SHIRTS AND PLACARDS,administrative
3418,T-SHIRTS FOR CANVASSERS,administrative
1146,T-SHIRTS FOR PA,administrative
632,T-SHIRTS/RALLY SIGNS,administrative
4720,T-SHIRTS/STICKERS/BUTTONS,administrative
5782,UFCW FOR OBAMA BUMPER STICKERS BUTTONS,administrative
1779,UFCW FOR OBAMA BUMPER STICKERS LAPEL PI,administrative
1805,UFCW FOR OBAMA BUTTONS,administrative
6444,UFCW FOR OBAMA BUTTONS AND BUMPER STICKE,administrative
2601,UFCW FOR OBAMA SHIRTS,administrative
6567,UFCW FOR OBAMA SHIRTS BUMPER STICKERS,administrative
7412,UFCW FOR OBAMA SHIRTS HATS PINS,administrative
1059,UFCW FOR OBAMA SHIRTS LAPEL PINS,administrative
6296,UFCW FOR OBAMA WINDOW CLINGS,administrative
5876,UFCW FOR OBAMA WINDOW CLINGS BUMPER STI,administrative
7979,UIFCW FOR OBAMA YARD SIGNS,administrative
1003,YARD & CARD SIGNS,administrative
1119,YARD SIGN SHIPPING,administrative
1822,YARD SIGNERS AND DOOR HANGERS,administrative
577,YARD SIGNS & CARDS,administrative
7485,YARD SIGNS FOR OBAMA,administrative
1170,IE-ANGLE-EMAIL LIST,digital
7733,IE-MANDEL-MICRO TARGETING,digital
3265,IE-MOURDOCK-MICRO TARGETING,digital
2584,IE-WALSH-MICRO TARGETING,digital
7943,IE-WEST-MICRO TARGETING,digital
7767,IN-KIND BANNER ADVERTISING (ESTIMATE OF OCTOBER BALANCE),digital
2389,PRODUCTION AND SENDING OF EMAILS 11/5 - 11/8,digital
183,REIMBURSMENT FOR LIST PURCHASE FOR ELECTRONIC COMMUNICATIONS,digital
5753,GOTV - ONLINE ADVOCACY,field
832,GOTV CALLS DEBATE MEDIA BUY DIGITAL TV,field
6807,GOTV FLYERS,field
6827,GOTV MAILER - PRINTING,field
3029,GOTV WEB ADS,field
3609,GRASSROOTS SUPPORT EMAILS,field
1009,IN KIND PHONE BANKING EQUIPMENT,field
179,PAC GOTV EQUIPMENT,field
7055,PRODUCTION GOTV MAILER,field
370,VOTER CONTACT EMAIL,field
7024,VOTER CONTACT EMAILS OVER SEVERAL WEEKS,field
569,VOTER CONTACT OVER SEVERAL WEEKS,field
2129,VOTER CONTACT-EMAILS,field
1138,VOTER FILES,field
2458,VOTER ID SOFTWARE,field
5755,VOTER LIST,field
480,VOTER LIST ACQUISITION,field
5773,VOTER LISTS FOR PHONE AND MAIL,field
618,CREATION COST - MAIL PIECE 2,fundraising
2149,CREATION COST - MAIL PIECE 6,fundraising
7761,CREATIVE COST - MAIL PIECE 2,fundraising
4836,CREATIVE COST - MAIL PIECE 4,fundraising
6955,CREATIVE COST - MAIL PIECE 5,fundraising
1974,CREATIVE COST- MAIL PIECE 2,fundraising
1997,CREATIVE COST- MAIL PIECE 3,fundraising
2497,CREATIVE COST- MAIL PIECE 4,fundraising
2159,CREATIVE COST- MAIL PIECE 5,fundraising
7044,CREATIVE PRODUCTION - MAIL PIECE 4,fundraising
2789,CREATIVE PRODUCTION - MAIL PIECE 6,fundraising
7331,DESIGN AND PRINTING FOR MAIL PIECE,fundraising
5235,DESIGN AND PRINTING OF MAIL PIECE,fundraising
5747,DESIGN FOR MAILER,fundraising
5623,DESIGN MAILING PIECE,fundraising
4993,DESIGN OF MAILERS (COST OF LIVING),fundraising
3567,DESIGN PRINT & DISTRIBE MASS MAILING,fundraising
6691,DESIGNING PRINTING & DISTRIBUTING MASS MAILING,fundraising
3342,ESTIMATE: MAILER - MAILSHOP,fundraising
5452,ESTIMATE: MAILER - PROOFREADING,fundraising
5206,ESTIMATE: MAILER-ART/COPY/PRODUCTION,fundraising
7397,ESTIMATE: SERIES OF MAIL PIECES,fundraising
3034,ETHICS VIOLATION MAILER,fundraising
3922,FLORIDA FIRST MAILERS,fundraising
2864,IE MAIL ADVERTISING - NON CONTRIBUTION ACCOUNT,fundraising
2098,IE MAIL PIECE #1 (MO),fundraising
